Country/Region,Confirmed,Deaths,Recovered,Active,Id_region
Afghanistan,36263,1269,25198,9796,0
Albania,4880,144,2745,1991,1
Algeria,27973,1163,18837,7973,2
Andorra,907,52,803,52,3
Angola,950,41,242,667,4
Antigua and Barbuda,86,3,65,18,5
Argentina,167416,3059,72575,91782,6
Armenia,37390,711,26665,10014,7
Australia,15303,167,9311,5825,8
Austria,20558,713,18246,1599,9
Azerbaijan,30446,423,23242,6781,10
Bahamas,382,11,91,280,11
Bahrain,39482,141,36110,3231,12
Bangladesh,226225,2965,125683,97577,13
Barbados,110,7,94,9,14
Belarus,67251,538,60492,6221,15
Belgium,66428,9822,17452,39154,16
Belize,48,2,26,20,17
Benin,1770,35,1036,699,18
Bhutan,99,0,86,13,19
Bolivia,71181,2647,21478,47056,20
Bosnia and Herzegovina,10498,294,4930,5274,21
Botswana,739,2,63,674,22
Brazil,2442375,87618,1846641,508116,23
Brunei,141,3,138,0,24
Bulgaria,10621,347,5585,4689,25
Burkina Faso,1100,53,926,121,26
Burma,350,6,292,52,27
Burundi,378,1,301,76,28
Cabo Verde,2328,22,1550,756,29
Cambodia,226,0,147,79,30
Cameroon,17110,391,14539,2180,31
Canada,116458,8944,0,107514,32
Central African Republic,4599,59,1546,2994,33
Chad,922,75,810,37,34
Chile,347923,9187,319954,18782,35
China,86783,4656,78869,3258,36
Colombia,257101,8777,131161,117163,37
Comoros,354,7,328,19,38
Congo (Brazzaville),3200,54,829,2317,39
Congo (Kinshasa),8844,208,5700,2936,40
Costa Rica,15841,115,3824,11902,41
Cote d'Ivoire,15655,96,10361,5198,42
Croatia,4881,139,3936,806,43
Cuba,2532,87,2351,94,44
Cyprus,1060,19,852,189,45
Czechia,15516,373,11428,3715,46
Denmark,13761,613,12605,543,47
Djibouti,5059,58,4977,24,48
Dominica,18,0,18,0,49
Dominican Republic,64156,1083,30204,32869,50
Ecuador,81161,5532,34896,40733,51
Egypt,92482,4652,34838,52992,52
El Salvador,15035,408,7778,6849,53
Equatorial Guinea,3071,51,842,2178,54
Eritrea,265,0,191,74,55
Estonia,2034,69,1923,42,56
Eswatini,2316,34,1025,1257,57
Ethiopia,14547,228,6386,7933,58
Fiji,27,0,18,9,59
Finland,7398,329,6920,149,60
France,220352,30212,81212,108928,61
Gabon,7189,49,4682,2458,62
Gambia,326,8,66,252,63
Georgia,1137,16,922,199,64
Germany,207112,9125,190314,7673,65
Ghana,33624,168,29801,3655,66
Greece,4227,202,1374,2651,67
Greenland,14,0,13,1,68
Grenada,23,0,23,0,69
Guatemala,45309,1761,32455,11093,70
Guinea,7055,45,6257,753,71
Guinea-Bissau,1954,26,803,1125,72
Guyana,389,20,181,188,73
Haiti,7340,158,4365,2817,74
Holy See,12,0,12,0,75
Honduras,39741,1166,5039,33536,76
Hungary,4448,596,3329,523,77
Iceland,1854,10,1823,21,78
India,1480073,33408,951166,495499,79
Indonesia,100303,4838,58173,37292,80
Iran,293606,15912,255144,22550,81
Iraq,112585,4458,77144,30983,82
Ireland,25892,1764,23364,764,83
Israel,63985,474,27133,36378,84
Italy,246286,35112,198593,12581,85
Jamaica,853,10,714,129,86
Japan,31142,998,21970,8174,87
Jordan,1176,11,1041,124,88
Kazakhstan,84648,585,54404,29659,89
Kenya,17975,285,7833,9857,90
Kosovo,7413,185,4027,3201,91
Kuwait,64379,438,55057,8884,92
Kyrgyzstan,33296,1301,21205,10790,93
Laos,20,0,19,1,94
